"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"    Estimate","3,359","10","3,328","27"
"Bryan County, Oklahoma","","","",""
"    Estimate","16,878","164","18,228","128"
"Caddo County, Oklahoma","","","",""
"    Estimate","10,357","115","9,888","131"
"Canadian County, Oklahoma","","","",""
"    Estimate","49,671","1,828","50,796","1,953"
"Carter County, Oklahoma","","","",""
"    Estimate","16,638","191","18,117","329"
"Cherokee County, Oklahoma","","","",""
"    Estimate","17,597","297","18,963","169"
"Choctaw County, Oklahoma","","","",""
"    Estimate","5,151","37","5,801","41"
"Cimarron County, Oklahoma","","","",""
"    Estimate","719","20","718","30"
"Cleveland County, Oklahoma","","","",""
"    Estimate","101,555","3,881","102,863","4,701"
"Coal County, Oklahoma","","","",""
"    Estimate","2,033","5","2,119","27"
"Comanche County, Oklahoma","","","",""
"    Estimate","45,566","1,466","40,227","2,387"
"Cotton County, Oklahoma","","","",""
"    Estimate","2,214","10","2,229","8"
"Craig County, Oklahoma","","","",""
"    Estimate","5,541","21","5,414","43"
"Creek County, Oklahoma","","","",""
"    Estimate","26,009","263","27,209","230"
"Custer County, Oklahoma","","","",""
"    Estimate","9,910","318","9,966","512"
"Delaware County, Oklahoma","","","",""
"    Estimate","16,130","203","17,082","204"
"Dewey County, Oklahoma","","","",""
"    Estimate","1,738","1","1,751","7"
"Ellis County, Oklahoma","","","",""
"    Estimate","1,445","19","1,501","26"
"Garfield County, Oklahoma","","","",""
"    Estimate","20,432","875","21,052","410"
"Garvin County, Oklahoma","","","",""
"    Estimate","9,686","169","10,271","135"
"Grady County, Oklahoma","","","",""
"    Estimate","20,283","147","20,921","216"
"Grant County, Oklahoma","","","",""
"    Estimate","1,662","4","1,627","5"
"Greer County, Oklahoma","","","",""
"    Estimate","2,688","0","1,755","26"
"Harmon County, Oklahoma","","","",""
"    Estimate","912","26","958","43"
"Harper County, Oklahoma","","","",""
"    Estimate","1,142","27","1,243","45"
"Haskell County, Oklahoma","","","",""
"    Estimate","4,507","73","4,881","64"
"Hughes County, Oklahoma","","","",""
"    Estimate","5,247","40","4,620","30"
"Jackson County, Oklahoma","","","",""
"    Estimate","8,632","285","8,689","259"
"Jefferson County, Oklahoma","","","",""
"    Estimate","2,176","61","2,242","40"
"Johnston County, Oklahoma","","","",""
"    Estimate","4,047","15","4,196","48"
"Kay County, Oklahoma","","","",""
"    Estimate","15,776","172","16,199","310"
"Kingfisher County, Oklahoma","","","",""
"    Estimate","5,037","215","5,074","310"
"Kiowa County, Oklahoma","","","",""
"    Estimate","3,206","16","3,406","8"
"Latimer County, Oklahoma","","","",""
"    Estimate","3,970","38","3,878","61"
"Le Flore County, Oklahoma","","","",""
"    Estimate","17,853","222","18,414","186"
"Lincoln County, Oklahoma","","","",""
"    Estimate","12,900","96","13,359","46"
"Logan County, Oklahoma","","","",""
"    Estimate","17,185","436","17,944","235"
"Love County, Oklahoma","","","",""
"    Estimate","3,469","151","3,543","140"
"McClain County, Oklahoma","","","",""
"    Estimate","13,909","307","14,677","184"
"McCurtain County, Oklahoma","","","",""
"    Estimate","11,391","228","12,129","179"
"McIntosh County, Oklahoma","","","",""
"    Estimate","7,547","170","7,912","33"
"Major County, Oklahoma","","","",""
"    Estimate","2,610","58","2,662","125"
"Marshall County, Oklahoma","","","",""
"    Estimate","5,730","105","6,043","110"
"Mayes County, Oklahoma","","","",""
"    Estimate","15,336","94","15,700","94"
"Murray County, Oklahoma","","","",""
"    Estimate","5,110","68","5,252","27"
"Muskogee County, Oklahoma","","","",""
"    Estimate","24,026","345","26,112","290"
"Noble County, Oklahoma","","","",""
"    Estimate","4,196","13","4,344","11"
"Nowata County, Oklahoma","","","",""
"    Estimate","3,819","23","4,009","4"
"Okfuskee County, Oklahoma","","","",""
"    Estimate","4,924","44","4,134","49"
"Oklahoma County, Oklahoma","","","",""
"    Estimate","245,237","13,767","269,111","14,043"
"Okmulgee County, Oklahoma","","","",""
"    Estimate","14,169","71","14,943","43"
"Osage County, Oklahoma","","","",""
"    Estimate","18,198","175","18,067","247"
"Ottawa County, Oklahoma","","","",""
"    Estimate","10,980","105","11,782","152"
"Pawnee County, Oklahoma","","","",""
"    Estimate","6,159","15","6,321","11"
"Payne County, Oklahoma","","","",""
"    Estimate","30,469","873","30,155","807"
"Pittsburg County, Oklahoma","","","",""
"    Estimate","16,840","99","16,365","190"
"Pontotoc County, Oklahoma","","","",""
"    Estimate","13,689","159","14,831","124"
"Pottawatomie County, Oklahoma","","","",""
"    Estimate","25,461","259","28,746","332"
"Pushmataha County, Oklahoma","","","",""
"    Estimate","4,124","10","4,429","16"
"Roger Mills County, Oklahoma","","","",""
"    Estimate","1,370","12","1,304","4"
"Rogers County, Oklahoma","","","",""
"    Estimate","33,560","456","34,526","737"
"Seminole County, Oklahoma","","","",""
"    Estimate","8,682","109","9,260","131"
"Sequoyah County, Oklahoma","","","",""
"    Estimate","15,017","131","16,087","152"
"Stephens County, Oklahoma","","","",""
"    Estimate","15,503","237","16,719","249"
"Texas County, Oklahoma","","","",""
"    Estimate","4,910","596","4,560","549"
"Tillman County, Oklahoma","","","",""
"    Estimate","2,591","112","2,476","87"
"Tulsa County, Oklahoma","","","",""
"    Estimate","205,519","9,887","227,652","9,702"
"Wagoner County, Oklahoma","","","",""
"    Estimate","28,302","684","29,481","769"
"Washington County, Oklahoma","","","",""
"    Estimate","18,000","194","19,628","506"
"Washita County, Oklahoma","","","",""
"    Estimate","3,909","50","4,171","49"
"Woods County, Oklahoma","","","",""
"    Estimate","3,662","7","3,197","39"
"Woodward County, Oklahoma","","","",""
"    Estimate","7,658","142","6,769","75"
"Baker County, Oregon","","","",""
"    Estimate","6,415","82","6,206","48"
"Benton County, Oregon","","","",""
"    Estimate","34,433","1,018","34,326","1,800"
"Clackamas County, Oregon","","","",""
"    Estimate","143,556","8,468","149,557","10,665"
"Clatsop County, Oregon","","","",""
"    Estimate","15,015","321","15,240","682"
"Columbia County, Oregon","","","",""
"    Estimate","19,927","410","19,946","482"
"Coos County, Oregon","","","",""
"    Estimate","24,542","473","25,571","781"
"Crook County, Oregon","","","",""
"    Estimate","9,286","111","9,290","184"
"Curry County, Oregon","","","",""
"    Estimate","9,242","329","9,443","328"
"Deschutes County, Oregon","","","",""
"    Estimate","71,446","1,878","74,054","2,088"
"Douglas County, Oregon","","","",""
"    Estimate","42,061","732","43,914","1,071"
"Gilliam County, Oregon","","","",""
"    Estimate","735","11","780","26"
"Grant County, Oregon","","","",""
"    Estimate","2,890","61","2,848","71"
"Harney County, Oregon","","","",""
"    Estimate","2,795","6","2,955","8"
"Hood River County, Oregon","","","",""
"    Estimate","6,826","431","7,121","506"
"Jackson County, Oregon","","","",""
"    Estimate","77,679","3,104","84,092","3,188"
"Jefferson County, Oregon","","","",""
"    Estimate","8,836","333","8,092","357"
"Josephine County, Oregon","","","",""
"    Estimate","32,296","606","34,755","932"
"Klamath County, Oregon","","","",""
"    Estimate","24,397","791","24,979","884"
"Lake County, Oregon","","","",""
"    Estimate","3,302","86","2,811","43"
"Lane County, Oregon","","","",""
"    Estimate","141,042","3,765","147,503","5,384"
"Lincoln County, Oregon","","","",""
"    Estimate","18,454","429","20,228","617"
"Linn County, Oregon","","","",""
"    Estimate","45,836","851","47,735","1,086"
"Malheur County, Oregon","","","",""
"    Estimate","11,146","374","9,024","369"
"Marion County, Oregon","","","",""
"    Estimate","106,977","6,954","110,944","8,188"
"Morrow County, Oregon","","","",""
"    Estimate","3,189","273","3,216","135"
"Multnomah County, Oregon","","","",""
"    Estimate","273,280","26,004","280,157","30,148"
"Polk County, Oregon","","","",""
"    Estimate","29,114","1,114","30,894","1,483"
"Sherman County, Oregon","","","",""
"    Estimate","729","2","613","1"
"Tillamook County, Oregon","","","",""
"    Estimate","10,286","132","10,245","292"
"Umatilla County, Oregon","","","",""
"    Estimate","26,545","1,270","24,046","987"
"Union County, Oregon","","","",""
"    Estimate","9,725","86","10,233","168"
"Wallowa County, Oregon","","","",""
"    Estimate","2,752","42","2,872","43"
"Wasco County, Oregon","","","",""
"    Estimate","8,876","266","9,231","362"
"Washington County, Oregon","","","",""
"    Estimate","176,967","21,895","183,180","26,448"
"Wheeler County, Oregon","","","",""
"    Estimate","542","2","581","5"
"Yamhill County, Oregon","","","",""
"    Estimate","36,441","1,812","37,745","1,641"
"Adams County, Pennsylvania","","","",""
"    Estimate","38,105","657","40,204","887"
"Allegheny County, Pennsylvania","","","",""
"    Estimate","438,462","15,702","483,775","18,173"
"Armstrong County, Pennsylvania","","","",""
"    Estimate","25,957","80","26,510","125"
"Beaver County, Pennsylvania","","","",""
"    Estimate","62,306","971","67,372","1,359"
"Bedford County, Pennsylvania","","","",""
"    Estimate","18,828","64","19,561","141"
"Berks County, Pennsylvania","","","",""
"    Estimate","144,245","7,885","152,019","7,820"
"Blair County, Pennsylvania","","","",""
"    Estimate","46,283","356","49,731","623"
"Bradford County, Pennsylvania","","","",""
"    Estimate","22,849","218","23,437","378"
"Bucks County, Pennsylvania","","","",""
"    Estimate","215,003","18,506","227,060","21,129"
"Butler County, Pennsylvania","","","",""
"    Estimate","71,607","1,099","74,418","1,271"
"Cambria County, Pennsylvania","","","",""
"    Estimate","51,044","427","53,995","381"
"Cameron County, Pennsylvania","","","",""
"    Estimate","1,824","13","1,935","6"
"Carbon County, Pennsylvania","","","",""
"    Estimate","24,540","625","25,180","814"
"Centre County, Pennsylvania","","","",""
"    Estimate","66,530","1,777","59,194","1,850"
"Chester County, Pennsylvania","","","",""
"    Estimate","174,013","10,292","183,834","11,237"
"Clarion County, Pennsylvania","","","",""
"    Estimate","15,169","44","15,924","84"
"Clearfield County, Pennsylvania","","","",""
"    Estimate","32,600","82","30,333","144"
"Clinton County, Pennsylvania","","","",""
"    Estimate","14,941","95","15,392","185"
"Columbia County, Pennsylvania","","","",""
"    Estimate","25,030","333","27,478","501"
"Crawford County, Pennsylvania","","","",""
"    Estimate","32,092","193","34,370","368"
"Cumberland County, Pennsylvania","","","",""
"    Estimate","90,455","4,467","94,424","4,428"
"Dauphin County, Pennsylvania","","","",""
"    Estimate","93,210","4,413","102,532","5,196"
"Delaware County, Pennsylvania","","","",""
"    Estimate","181,493","15,975","203,180","17,808"
"Elk County, Pennsylvania","","","",""
"    Estimate","12,216","34","11,922","72"
"Erie County, Pennsylvania","","","",""
"    Estimate","99,634","2,403","104,015","3,099"
